threshold,tp17,fp17,fn17,tn17,tp19,fp19,fn19,tn19,prec17,rec17,prec19,rec19,f117,f119,tpr17,fpr17,tpr19,fpr19
0.23,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.24,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.25,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.26,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.27,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.28,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.29,859.0,11.0,1.0,2897.0,859.0,72.0,1.0,2836.0,0.9873563218390805,0.9988372093023256,0.9226638023630505,0.9988372093023256,0.9930635838150289,0.9592406476828587,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024759284731774415
0.3,859.0,11.0,1.0,2897.0,859.0,71.0,1.0,2837.0,0.9873563218390805,0.9988372093023256,0.9236559139784947,0.9988372093023256,0.9930635838150289,0.9597765363128492,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024415405777166437
0.31,859.0,11.0,1.0,2897.0,859.0,71.0,1.0,2837.0,0.9873563218390805,0.9988372093023256,0.9236559139784947,0.9988372093023256,0.9930635838150289,0.9597765363128492,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024415405777166437
0.32,859.0,11.0,1.0,2897.0,859.0,71.0,1.0,2837.0,0.9873563218390805,0.9988372093023256,0.9236559139784947,0.9988372093023256,0.9930635838150289,0.9597765363128492,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024415405777166437
0.33,859.0,11.0,1.0,2897.0,859.0,71.0,1.0,2837.0,0.9873563218390805,0.9988372093023256,0.9236559139784947,0.9988372093023256,0.9930635838150289,0.9597765363128492,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024415405777166437
0.34,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
0.35000000000000003,859.0,11.0,1.0,2897.0,859.0,70.0,1.0,2838.0,0.9873563218390805,0.9988372093023256,0.9246501614639397,0.9988372093023256,0.9930635838150289,0.9603130240357741,0.9988372093023256,0.003782668500687758,0.9988372093023256,0.024071526822558458
